text,classification_label,weight,label,,
was literally just talking about this lol all mass,1,0.3,,,
was literally just talking about this lol all mass shootings,1,0.333333333333333,,,
was literally just talking about this lol all mass shootings like,1,0.366666666666667,,,
was literally just talking about this lol all mass shootings like that,1,0.4,,,
was literally just talking about this lol all mass shootings like that have,1,0.433333333333333,,,
was literally just talking about this lol all mass shootings like that have been,1,0.466666666666667,,,
was literally just talking about this lol all mass shootings like that have been set,1,0.5,,,
was literally just talking about this lol all mass shootings like that have been set ups.,1,0.533333333333333,,,
was literally just talking about this lol all mass shootings like that have been set ups. it’s,1,0.566666666666667,,,
was literally just talking about this lol all mass shootings like that have been set ups. it’s propaganda,1,0.6,,,
was literally just talking about this lol all mass shootings like that have been set ups. it’s propaganda used,1,0.633333333333333,,,
was literally just talking about this lol all mass shootings like that have been set ups. it’s propaganda used to,1,0.666666666666667,,,
was literally just talking about this lol all mass shootings like that have been set ups. it’s propaganda used to divide,1,0.7,,,
was literally just talking about this lol all mass shootings like that have been set ups. it’s propaganda used to divide us,1,0.733333333333333,,,
was literally just talking about this lol all mass shootings like that have been set ups. it’s propaganda used to divide us on,1,0.766666666666667,,,
was literally just talking about this lol all mass shootings like that have been set ups. it’s propaganda used to divide us on major,1,0.8,,,
was literally just talking about this lol all mass shootings like that have been set ups. it’s propaganda used to divide us on major issues,1,0.833333333333333,,,
was literally just talking about this lol all mass shootings like that have been set ups. it’s propaganda used to divide us on major issues like,1,0.866666666666667,,,
was literally just talking about this lol all mass shootings like that have been set ups. it’s propaganda used to divide us on major issues like gun,1,0.9,,,
was literally just talking about this lol all mass shootings like that have been set ups. it’s propaganda used to divide us on major issues like gun control,1,0.933333333333333,,,
was literally just talking about this lol all mass shootings like that have been set ups. it’s propaganda used to divide us on major issues like gun control and,1,0.966666666666667,,,
was literally just talking about this lol all mass shootings like that have been set ups. it’s propaganda used to divide us on major issues like gun control and terrorism,1,1,,,
Buy,0,0.333333333333333,,,
Buy more,0,0.666666666666667,,,
Buy more icecream!!!,0,1,,,
Canada,1,0.0555555555555556,,,
Canada doesn’t,1,0.111111111111111,,,
Canada doesn’t need,1,0.166666666666667,,,
Canada doesn’t need another,1,0.222222222222222,,,
Canada doesn’t need another CUCK!,1,0.277777777777778,,,
Canada doesn’t need another CUCK! We,1,0.333333333333333,,,
Canada doesn’t need another CUCK! We already,1,0.388888888888889,,,
Canada doesn’t need another CUCK! We already have,1,0.444444444444444,,,
Canada doesn’t need another CUCK! We already have enough,1,0.5,,,
Canada doesn’t need another CUCK! We already have enough #LooneyLeft,1,0.555555555555556,,,
Canada doesn’t need another CUCK! We already have enough #LooneyLeft #Liberals,1,0.611111111111111,,,
Canada doesn’t need another CUCK! We already have enough #LooneyLeft #Liberals f**king,1,0.666666666666667,,,
Canada doesn’t need another CUCK! We already have enough #LooneyLeft #Liberals f**king up,1,0.722222222222222,,,
Canada doesn’t need another CUCK! We already have enough #LooneyLeft #Liberals f**king up our,1,0.777777777777778,,,
Canada doesn’t need another CUCK! We already have enough #LooneyLeft #Liberals f**king up our great,1,0.833333333333333,,,
Canada doesn’t need another CUCK! We already have enough #LooneyLeft #Liberals f**king up our great country!,1,0.888888888888889,,,
Canada doesn’t need another CUCK! We already have enough #LooneyLeft #Liberals f**king up our great country! #Qproofs,1,0.944444444444444,,,
Canada doesn’t need another CUCK! We already have enough #LooneyLeft #Liberals f**king up our great country! #Qproofs #TrudeauMustGo,1,1,,,
It’s,0,0.125,,,
It’s not,0,0.25,,,
It’s not my,0,0.375,,,
It’s not my fault,0,0.5,,,
It’s not my fault you,0,0.625,,,
It’s not my fault you support,0,0.75,,,
It’s not my fault you support gun,0,0.875,,,
It’s not my fault you support gun control,0,1,,,
What’s,0,0.0263157894736842,,,
What’s the,0,0.0526315789473684,,,
What’s the difference,0,0.0789473684210526,,,
What’s the difference between,0,0.105263157894737,,,
What’s the difference between #Kavanaugh,0,0.131578947368421,,,
What’s the difference between #Kavanaugh and,0,0.157894736842105,,,
What’s the difference between #Kavanaugh and One,0,0.184210526315789,,,
What’s the difference between #Kavanaugh and One of,0,0.210526315789474,,,
What’s the difference between #Kavanaugh and One of these,0,0.236842105263158,,,
What’s the difference between #Kavanaugh and One of these men,0,0.263157894736842,,,
What’s the difference between #Kavanaugh and One of these men admitted,0,0.289473684210526,,,
What’s the difference between #Kavanaugh and One of these men admitted to,0,0.315789473684211,,,
What’s the difference between #Kavanaugh and One of these men admitted to groping,0,0.342105263157895,,,
What’s the difference between #Kavanaugh and One of these men admitted to groping a,0,0.368421052631579,,,
What’s the difference between #Kavanaugh and One of these men admitted to groping a 15,0,0.394736842105263,,,
What’s the difference between #Kavanaugh and One of these men admitted to groping a 15 year,0,0.421052631578947,,,
What’s the difference between #Kavanaugh and One of these men admitted to groping a 15 year old,0,0.447368421052632,,,
What’s the difference between #Kavanaugh and One of these men admitted to groping a 15 year old girl,0,0.473684210526316,,,
What’s the difference between #Kavanaugh and One of these men admitted to groping a 15 year old girl years,0,0.5,,,
What’s the difference between #Kavanaugh and One of these men admitted to groping a 15 year old girl years ago.,0,0.526315789473684,,,
What’s the difference between #Kavanaugh and One of these men admitted to groping a 15 year old girl years ago. The,0,0.552631578947369,,,
What’s the difference between #Kavanaugh and One of these men admitted to groping a 15 year old girl years ago. The other,0,0.578947368421053,,,
What’s the difference between #Kavanaugh and One of these men admitted to groping a 15 year old girl years ago. The other is,0,0.605263157894737,,,
What’s the difference between #Kavanaugh and One of these men admitted to groping a 15 year old girl years ago. The other is going,0,0.631578947368421,,,
What’s the difference between #Kavanaugh and One of these men admitted to groping a 15 year old girl years ago. The other is going to,0,0.657894736842105,,,
What’s the difference between #Kavanaugh and One of these men admitted to groping a 15 year old girl years ago. The other is going to be,0,0.68421052631579,,,
What’s the difference between #Kavanaugh and One of these men admitted to groping a 15 year old girl years ago. The other is going to be #confirmed,0,0.710526315789474,,,
What’s the difference between #Kavanaugh and One of these men admitted to groping a 15 year old girl years ago. The other is going to be #confirmed to,0,0.736842105263158,,,
What’s the difference between #Kavanaugh and One of these men admitted to groping a 15 year old girl years ago. The other is going to be #confirmed to the,0,0.763157894736842,,,
What’s the difference between #Kavanaugh and One of these men admitted to groping a 15 year old girl years ago. The other is going to be #confirmed to the SCJ,0,0.789473684210526,,,
What’s the difference between #Kavanaugh and One of these men admitted to groping a 15 year old girl years ago. The other is going to be #confirmed to the SCJ #DemsareFrauds,0,0.815789473684211,,,
What’s the difference between #Kavanaugh and One of these men admitted to groping a 15 year old girl years ago. The other is going to be #confirmed to the SCJ #DemsareFrauds #DemsAreDone,0,0.842105263157895,,,
What’s the difference between #Kavanaugh and One of these men admitted to groping a 15 year old girl years ago. The other is going to be #confirmed to the SCJ #DemsareFrauds #DemsAreDone #WalkAwayDemocrats2018,0,0.868421052631579,,,
What’s the difference between #Kavanaugh and One of these men admitted to groping a 15 year old girl years ago. The other is going to be #confirmed to the SCJ #DemsareFrauds #DemsAreDone #WalkAwayDemocrats2018 #redwave,0,0.894736842105263,,,
What’s the difference between #Kavanaugh and One of these men admitted to groping a 15 year old girl years ago. The other is going to be #confirmed to the SCJ #DemsareFrauds #DemsAreDone #WalkAwayDemocrats2018 #redwave #VoteRedSaveAmerica,0,0.921052631578947,,,
What’s the difference between #Kavanaugh and One of these men admitted to groping a 15 year old girl years ago. The other is going to be #confirmed to the SCJ #DemsareFrauds #DemsAreDone #WalkAwayDemocrats2018 #redwave #VoteRedSaveAmerica #trumptrain,0,0.947368421052632,,,
What’s the difference between #Kavanaugh and One of these men admitted to groping a 15 year old girl years ago. The other is going to be #confirmed to the SCJ #DemsareFrauds #DemsAreDone #WalkAwayDemocrats2018 #redwave #VoteRedSaveAmerica #trumptrain #MAGA,0,0.973684210526316,,,
What’s the difference between #Kavanaugh and One of these men admitted to groping a 15 year old girl years ago. The other is going to be #confirmed to the SCJ #DemsareFrauds #DemsAreDone #WalkAwayDemocrats2018 #redwave #VoteRedSaveAmerica #trumptrain #MAGA URL,0,1,,,
you,1,0.0625,,,
you are,1,0.125,,,
you are a,1,0.1875,,,
you are a lying,1,0.25,,,
you are a lying corrupt,1,0.3125,,,
you are a lying corrupt traitor!!!,1,0.375,,,
you are a lying corrupt traitor!!! Nobody,1,0.4375,,,
you are a lying corrupt traitor!!! Nobody wants,1,0.5,,,
you are a lying corrupt traitor!!! Nobody wants to,1,0.5625,,,
you are a lying corrupt traitor!!! Nobody wants to hear,1,0.625,,,
you are a lying corrupt traitor!!! Nobody wants to hear anymore,1,0.6875,,,
you are a lying corrupt traitor!!! Nobody wants to hear anymore of,1,0.75,,,
you are a lying corrupt traitor!!! Nobody wants to hear anymore of your,1,0.8125,,,
you are a lying corrupt traitor!!! Nobody wants to hear anymore of your lies!!!,1,0.875,,,
you are a lying corrupt traitor!!! Nobody wants to hear anymore of your lies!!! #DeepStateCorruption,1,0.9375,,,
you are a lying corrupt traitor!!! Nobody wants to hear anymore of your lies!!! #DeepStateCorruption URL,1,1,,,
It,0,0.0769230769230769,,,
It should,0,0.153846153846154,,,
It should scare,0,0.230769230769231,,,
It should scare every,0,0.307692307692308,,,
It should scare every American!,0,0.384615384615385,,,
It should scare every American! She,0,0.461538461538462,,,
It should scare every American! She is,0,0.538461538461538,,,
It should scare every American! She is playing,0,0.615384615384615,,,
It should scare every American! She is playing Hockey,0,0.692307692307692,,,
It should scare every American! She is playing Hockey with,0,0.769230769230769,,,
It should scare every American! She is playing Hockey with a,0,0.846153846153846,,,
It should scare every American! She is playing Hockey with a warped,0,0.923076923076923,,,
It should scare every American! She is playing Hockey with a warped puck!,0,1,,,
I,0,0.0714285714285714,,,
I like,0,0.142857142857143,,,
I like my,0,0.214285714285714,,,
I like my soda,0,0.285714285714286,,,
I like my soda like,0,0.357142857142857,,,
I like my soda like I,0,0.428571428571429,,,
I like my soda like I like,0,0.5,,,
I like my soda like I like my,0,0.571428571428571,,,
I like my soda like I like my boarders,0,0.642857142857143,,,
I like my soda like I like my boarders with,0,0.714285714285714,,,
I like my soda like I like my boarders with a,0,0.785714285714286,,,
I like my soda like I like my boarders with a lot,0,0.857142857142857,,,
I like my soda like I like my boarders with a lot of,0,0.928571428571429,,,
I like my soda like I like my boarders with a lot of ICE.,0,1,,,
you,0,0.142857142857143,,,
you are,0,0.285714285714286,,,
you are also,0,0.428571428571429,,,
you are also the,0,0.571428571428571,,,
you are also the king,0,0.714285714285714,,,
you are also the king of,0,0.857142857142857,,,
you are also the king of taste,0,1,,,
#MAGA,0,0.032258064516129,,,
#MAGA 🎶,0,0.0645161290322581,,,
#MAGA 🎶 Sing,0,0.0967741935483871,,,
#MAGA 🎶 Sing like,0,0.129032258064516,,,
#MAGA 🎶 Sing like no,0,0.161290322580645,,,
#MAGA 🎶 Sing like no one,0,0.193548387096774,,,
#MAGA 🎶 Sing like no one is,0,0.225806451612903,,,
#MAGA 🎶 Sing like no one is listening,0,0.258064516129032,,,
#MAGA 🎶 Sing like no one is listening ♥️,0,0.290322580645161,,,
#MAGA 🎶 Sing like no one is listening ♥️ Love,0,0.32258064516129,,,
#MAGA 🎶 Sing like no one is listening ♥️ Love like,0,0.354838709677419,,,
#MAGA 🎶 Sing like no one is listening ♥️ Love like you've,0,0.387096774193548,,,
#MAGA 🎶 Sing like no one is listening ♥️ Love like you've never,0,0.419354838709677,,,
#MAGA 🎶 Sing like no one is listening ♥️ Love like you've never been,0,0.451612903225806,,,
#MAGA 🎶 Sing like no one is listening ♥️ Love like you've never been hurt,0,0.483870967741936,,,
#MAGA 🎶 Sing like no one is listening ♥️ Love like you've never been hurt ✔️,0,0.516129032258065,,,
#MAGA 🎶 Sing like no one is listening ♥️ Love like you've never been hurt ✔️ Vote,0,0.548387096774194,,,
#MAGA 🎶 Sing like no one is listening ♥️ Love like you've never been hurt ✔️ Vote GOP,0,0.580645161290323,,,
#MAGA 🎶 Sing like no one is listening ♥️ Love like you've never been hurt ✔️ Vote GOP when,0,0.612903225806452,,,
#MAGA 🎶 Sing like no one is listening ♥️ Love like you've never been hurt ✔️ Vote GOP when no,0,0.645161290322581,,,
#MAGA 🎶 Sing like no one is listening ♥️ Love like you've never been hurt ✔️ Vote GOP when no one,0,0.67741935483871,,,
#MAGA 🎶 Sing like no one is listening ♥️ Love like you've never been hurt ✔️ Vote GOP when no one is,0,0.709677419354839,,,
#MAGA 🎶 Sing like no one is listening ♥️ Love like you've never been hurt ✔️ Vote GOP when no one is watching,0,0.741935483870968,,,
#MAGA 🎶 Sing like no one is listening ♥️ Love like you've never been hurt ✔️ Vote GOP when no one is watching 🙉,0,0.774193548387097,,,
#MAGA 🎶 Sing like no one is listening ♥️ Love like you've never been hurt ✔️ Vote GOP when no one is watching 🙉 And,0,0.806451612903226,,,
#MAGA 🎶 Sing like no one is listening ♥️ Love like you've never been hurt ✔️ Vote GOP when no one is watching 🙉 And don't,0,0.838709677419355,,,
#MAGA 🎶 Sing like no one is listening ♥️ Love like you've never been hurt ✔️ Vote GOP when no one is watching 🙉 And don't listen,0,0.870967741935484,,,
#MAGA 🎶 Sing like no one is listening ♥️ Love like you've never been hurt ✔️ Vote GOP when no one is watching 🙉 And don't listen to,0,0.903225806451613,,,
#MAGA 🎶 Sing like no one is listening ♥️ Love like you've never been hurt ✔️ Vote GOP when no one is watching 🙉 And don't listen to Liberals',0,0.935483870967742,,,
#MAGA 🎶 Sing like no one is listening ♥️ Love like you've never been hurt ✔️ Vote GOP when no one is watching 🙉 And don't listen to Liberals' dirt,0,0.967741935483871,,,
#MAGA 🎶 Sing like no one is listening ♥️ Love like you've never been hurt ✔️ Vote GOP when no one is watching 🙉 And don't listen to Liberals' dirt URL,0,1,,,
5/5:,0,0.03125,,,
5/5: The,0,0.0625,,,
5/5: The time,0,0.09375,,,
5/5: The time is,0,0.125,,,
5/5: The time is right,0,0.15625,,,
5/5: The time is right for,0,0.1875,,,
5/5: The time is right for this,0,0.21875,,,
5/5: The time is right for this House,0,0.25,,,
5/5: The time is right for this House to,0,0.28125,,,
5/5: The time is right for this House to respond,0,0.3125,,,
5/5: The time is right for this House to respond to,0,0.34375,,,
5/5: The time is right for this House to respond to the,0,0.375,,,
5/5: The time is right for this House to respond to the concerns,0,0.40625,,,
5/5: The time is right for this House to respond to the concerns of,0,0.4375,,,
5/5: The time is right for this House to respond to the concerns of all,0,0.46875,,,
5/5: The time is right for this House to respond to the concerns of all Canadians.,0,0.5,,,
5/5: The time is right for this House to respond to the concerns of all Canadians. Four,0,0.53125,,,
5/5: The time is right for this House to respond to the concerns of all Canadians. Four out,0,0.5625,,,
5/5: The time is right for this House to respond to the concerns of all Canadians. Four out of,0,0.59375,,,
5/5: The time is right for this House to respond to the concerns of all Canadians. Four out of five,0,0.625,,,
5/5: The time is right for this House to respond to the concerns of all Canadians. Four out of five Canadians,0,0.65625,,,
5/5: The time is right for this House to respond to the concerns of all Canadians. Four out of five Canadians support,0,0.6875,,,
5/5: The time is right for this House to respond to the concerns of all Canadians. Four out of five Canadians support stronger,0,0.71875,,,
5/5: The time is right for this House to respond to the concerns of all Canadians. Four out of five Canadians support stronger gun,0,0.75,,,
5/5: The time is right for this House to respond to the concerns of all Canadians. Four out of five Canadians support stronger gun control,0,0.78125,,,
5/5: The time is right for this House to respond to the concerns of all Canadians. Four out of five Canadians support stronger gun control and,0,0.8125,,,
5/5: The time is right for this House to respond to the concerns of all Canadians. Four out of five Canadians support stronger gun control and with,0,0.84375,,,
5/5: The time is right for this House to respond to the concerns of all Canadians. Four out of five Canadians support stronger gun control and with good,0,0.875,,,
5/5: The time is right for this House to respond to the concerns of all Canadians. Four out of five Canadians support stronger gun control and with good reason.”,0,0.90625,,,
5/5: The time is right for this House to respond to the concerns of all Canadians. Four out of five Canadians support stronger gun control and with good reason.” #guncontrol,0,0.9375,,,
5/5: The time is right for this House to respond to the concerns of all Canadians. Four out of five Canadians support stronger gun control and with good reason.” #guncontrol #cdnpoli,0,0.96875,,,
"5/5: The time is right for this House to respond to the concerns of all Canadians. Four out of five Canadians support stronger gun control and with good reason.” #guncontrol #cdnpoli #cdnhist""",0,1,,,
Besides,0,0.0454545454545455,,,
Besides Jax’s,0,0.0909090909090909,,,
Besides Jax’s mom,0,0.136363636363636,,,
Besides Jax’s mom and,0,0.181818181818182,,,
Besides Jax’s mom and maybe,0,0.227272727272727,,,
Besides Jax’s mom and maybe Ope,0,0.272727272727273,,,
Besides Jax’s mom and maybe Ope he,0,0.318181818181818,,,
Besides Jax’s mom and maybe Ope he is,0,0.363636363636364,,,
Besides Jax’s mom and maybe Ope he is hands,0,0.409090909090909,,,
Besides Jax’s mom and maybe Ope he is hands down,0,0.454545454545455,,,
Besides Jax’s mom and maybe Ope he is hands down my,0,0.5,,,
Besides Jax’s mom and maybe Ope he is hands down my favorite,0,0.545454545454545,,,
Besides Jax’s mom and maybe Ope he is hands down my favorite he’s,0,0.590909090909091,,,
Besides Jax’s mom and maybe Ope he is hands down my favorite he’s like,0,0.636363636363636,,,
Besides Jax’s mom and maybe Ope he is hands down my favorite he’s like the,0,0.681818181818182,,,
Besides Jax’s mom and maybe Ope he is hands down my favorite he’s like the only,0,0.727272727272727,,,
Besides Jax’s mom and maybe Ope he is hands down my favorite he’s like the only good,0,0.772727272727273,,,
Besides Jax’s mom and maybe Ope he is hands down my favorite he’s like the only good person,0,0.818181818181818,,,
Besides Jax’s mom and maybe Ope he is hands down my favorite he’s like the only good person on,0,0.863636363636364,,,
Besides Jax’s mom and maybe Ope he is hands down my favorite he’s like the only good person on the,0,0.909090909090909,,,
Besides Jax’s mom and maybe Ope he is hands down my favorite he’s like the only good person on the show,0,0.954545454545455,,,
Besides Jax’s mom and maybe Ope he is hands down my favorite he’s like the only good person on the show 😂,0,1,,,
gun,1,0.1,,,
gun control!,1,0.2,,,
gun control! That,1,0.3,,,
gun control! That is,1,0.4,,,
gun control! That is all,1,0.5,,,
gun control! That is all these,1,0.6,,,
gun control! That is all these kids,1,0.7,,,
gun control! That is all these kids are,1,0.8,,,
gun control! That is all these kids are asking,1,0.9,,,
gun control! That is all these kids are asking for!,1,1,,,
LOL!!!,1,0.0769230769230769,,,
LOL!!! Throwing,1,0.153846153846154,,,
LOL!!! Throwing the,1,0.230769230769231,,,
LOL!!! Throwing the BULLSHIT,1,0.307692307692308,,,
LOL!!! Throwing the BULLSHIT Flag,1,0.384615384615385,,,
LOL!!! Throwing the BULLSHIT Flag on,1,0.461538461538462,,,
LOL!!! Throwing the BULLSHIT Flag on such,1,0.538461538461538,,,
LOL!!! Throwing the BULLSHIT Flag on such nonsense!!,1,0.615384615384615,,,
LOL!!! Throwing the BULLSHIT Flag on such nonsense!! #PutUpOrShutUp,1,0.692307692307692,,,
LOL!!! Throwing the BULLSHIT Flag on such nonsense!! #PutUpOrShutUp #Kavanaugh,1,0.769230769230769,,,
LOL!!! Throwing the BULLSHIT Flag on such nonsense!! #PutUpOrShutUp #Kavanaugh #MAGA,1,0.846153846153846,,,
LOL!!! Throwing the BULLSHIT Flag on such nonsense!! #PutUpOrShutUp #Kavanaugh #MAGA #CallTheVoteAlready,1,0.923076923076923,,,
LOL!!! Throwing the BULLSHIT Flag on such nonsense!! #PutUpOrShutUp #Kavanaugh #MAGA #CallTheVoteAlready URL,1,1,,,
You,0,0.333333333333333,,,
You are,0,0.666666666666667,,,
You are correct.,0,1,,,
Kind,1,0.0666666666666667,,,
Kind of,1,0.133333333333333,,,
Kind of like,1,0.2,,,
Kind of like when,1,0.266666666666667,,,
Kind of like when conservatives,1,0.333333333333333,,,
Kind of like when conservatives wanna,1,0.4,,,
Kind of like when conservatives wanna associate,1,0.466666666666667,,,
Kind of like when conservatives wanna associate everyone,1,0.533333333333333,,,
Kind of like when conservatives wanna associate everyone to,1,0.6,,,
Kind of like when conservatives wanna associate everyone to their,1,0.666666666666667,,,
Kind of like when conservatives wanna associate everyone to their left,1,0.733333333333333,,,
Kind of like when conservatives wanna associate everyone to their left as,1,0.8,,,
Kind of like when conservatives wanna associate everyone to their left as communist,1,0.866666666666667,,,
Kind of like when conservatives wanna associate everyone to their left as communist antifa,1,0.933333333333333,,,
Kind of like when conservatives wanna associate everyone to their left as communist antifa members?,1,1,,,
Da,1,0.0476190476190476,,,
Da fuck,1,0.0952380952380952,,,
Da fuck is,1,0.142857142857143,,,
Da fuck is going,1,0.19047619047619,,,
Da fuck is going on,1,0.238095238095238,,,
Da fuck is going on people?,1,0.285714285714286,,,
Da fuck is going on people? There's,1,0.333333333333333,,,
Da fuck is going on people? There's the,1,0.380952380952381,,,
Da fuck is going on people? There's the men's,1,0.428571428571429,,,
Da fuck is going on people? There's the men's room,1,0.476190476190476,,,
Da fuck is going on people? There's the men's room and,1,0.523809523809524,,,
Da fuck is going on people? There's the men's room and the,1,0.571428571428571,,,
Da fuck is going on people? There's the men's room and the women's,1,0.619047619047619,,,
Da fuck is going on people? There's the men's room and the women's room,1,0.666666666666667,,,
Da fuck is going on people? There's the men's room and the women's room Pick,1,0.714285714285714,,,
Da fuck is going on people? There's the men's room and the women's room Pick one,1,0.761904761904762,,,
Da fuck is going on people? There's the men's room and the women's room Pick one and,1,0.80952380952381,,,
Da fuck is going on people? There's the men's room and the women's room Pick one and stick,1,0.857142857142857,,,
Da fuck is going on people? There's the men's room and the women's room Pick one and stick w,1,0.904761904761905,,,
Da fuck is going on people? There's the men's room and the women's room Pick one and stick w it,1,0.952380952380952,,,
Da fuck is going on people? There's the men's room and the women's room Pick one and stick w it 🤔,1,1,,,
Been,0,0.0333333333333333,,,
Been a,0,0.0666666666666667,,,
Been a Willie,0,0.1,,,
Been a Willie fan,0,0.133333333333333,,,
Been a Willie fan since,0,0.166666666666667,,,
Been a Willie fan since before,0,0.2,,,
Been a Willie fan since before most,0,0.233333333333333,,,
Been a Willie fan since before most of,0,0.266666666666667,,,
Been a Willie fan since before most of you,0,0.3,,,
Been a Willie fan since before most of you were,0,0.333333333333333,,,
Been a Willie fan since before most of you were born....LOVE,0,0.366666666666667,,,
Been a Willie fan since before most of you were born....LOVE that,0,0.4,,,
Been a Willie fan since before most of you were born....LOVE that he,0,0.433333333333333,,,
Been a Willie fan since before most of you were born....LOVE that he is,0,0.466666666666667,,,
Been a Willie fan since before most of you were born....LOVE that he is holding,0,0.5,,,
Been a Willie fan since before most of you were born....LOVE that he is holding a,0,0.533333333333333,,,
Been a Willie fan since before most of you were born....LOVE that he is holding a rally,0,0.566666666666667,,,
Been a Willie fan since before most of you were born....LOVE that he is holding a rally with,0,0.6,,,
Been a Willie fan since before most of you were born....LOVE that he is holding a rally with Beto....,0,0.633333333333333,,,
Been a Willie fan since before most of you were born....LOVE that he is holding a rally with Beto.... Exactly,0,0.666666666666667,,,
