phrase_id,partial_phrase,label
4,*most boys @ihatethiskid I'm not sexist but all the,0.7
4,*most boys @ihatethiskid I'm not sexist but all the internet,0.7
4,*most boys @ihatethiskid I'm not sexist but all the internet does,0.8
4,*most boys @ihatethiskid I'm not sexist but all the internet does is,0.8
4,*most boys @ihatethiskid I'm not sexist but all the internet does is show,0.8
4,*most boys @ihatethiskid I'm not sexist but all the internet does is show that,0.8
4,*most boys @ihatethiskid I'm not sexist but all the internet does is show that most,0.8
4,*most boys @ihatethiskid I'm not sexist but all the internet does is show that most girls,0.8
4,*most boys @ihatethiskid I'm not sexist but all the internet does is show that most girls don't,0.8
4,*most boys @ihatethiskid I'm not sexist but all the internet does is show that most girls don't know,0.8
4,*most boys @ihatethiskid I'm not sexist but all the internet does is show that most girls don't know how,0.8
4,*most boys @ihatethiskid I'm not sexist but all the internet does is show that most girls don't know how to,0.9
4,*most boys @ihatethiskid I'm not sexist but all the internet does is show that most girls don't know how to form,0.9
4,*most boys @ihatethiskid I'm not sexist but all the internet does is show that most girls don't know how to form their,0.9
4,*most boys @ihatethiskid I'm not sexist but all the internet does is show that most girls don't know how to form their own,0.9
4,*most boys @ihatethiskid I'm not sexist but all the internet does is show that most girls don't know how to form their own opinions.,1.0
5,I,0.0
5,I have,0.0
5,I have a,0.0
5,I have a black,0.1
5,I have a black man,0.2
5,I have a black man in,0.3
5,I have a black man in my,0.4
5,I have a black man in my family,0.5
5,I have a black man in my family tree,0.6
5,I have a black man in my family tree He’s,0.7
5,I have a black man in my family tree He’s still,0.8
5,I have a black man in my family tree He’s still hanging,0.9
5,I have a black man in my family tree He’s still hanging there,1.0
6,let,0.0
6,let 's,0.0
6,let 's be,0.0
6,let 's be honest,0.0
6,let 's be honest here,0.0
6,let 's be honest here .,0.0
6,let 's be honest here . <repeat>,0.0
6,let 's be honest here . <repeat> the,0.0
6,let 's be honest here . <repeat> the real,0.0
6,let 's be honest here . <repeat> the real reason,0.0
6,let 's be honest here . <repeat> the real reason why,0.0
6,let 's be honest here . <repeat> the real reason why the,0.0
6,let 's be honest here . <repeat> the real reason why the great,0.0
6,let 's be honest here . <repeat> the real reason why the great irish,0.0
6,let 's be honest here . <repeat> the real reason why the great irish potato,0.0
6,let 's be honest here . <repeat> the real reason why the great irish potato famine,0.3
6,let 's be honest here . <repeat> the real reason why the great irish potato famine happened,0.3
6,let 's be honest here . <repeat> the real reason why the great irish potato famine happened was,0.4
6,let 's be honest here . <repeat> the real reason why the great irish potato famine happened was because,0.4
6,let 's be honest here . <repeat> the real reason why the great irish potato famine happened was because the,0.5
6,let 's be honest here . <repeat> the real reason why the great irish potato famine happened was because the irish,0.5
6,let 's be honest here . <repeat> the real reason why the great irish potato famine happened was because the irish figured,0.6
6,let 's be honest here . <repeat> the real reason why the great irish potato famine happened was because the irish figured out,0.6
6,let 's be honest here . <repeat> the real reason why the great irish potato famine happened was because the irish figured out that,0.6
6,let 's be honest here . <repeat> the real reason why the great irish potato famine happened was because the irish figured out that they,0.7
6,let 's be honest here . <repeat> the real reason why the great irish potato famine happened was because the irish figured out that they could,0.7
6,let 's be honest here . <repeat> the real reason why the great irish potato famine happened was because the irish figured out that they could also,0.8
6,let 's be honest here . <repeat> the real reason why the great irish potato famine happened was because the irish figured out that they could also eat,0.8
6,let 's be honest here . <repeat> the real reason why the great irish potato famine happened was because the irish figured out that they could also eat the,0.9
6,let 's be honest here . <repeat> the real reason why the great irish potato famine happened was because the irish figured out that they could also eat the potatoes,0.9
6,let 's be honest here . <repeat> the real reason why the great irish potato famine happened was because the irish figured out that they could also eat the potatoes .,1.0
7,What,0.0
7,What do,0.0
7,What do you,0.0
7,What do you get,0.0
7,What do you get when,0.0
7,What do you get when you,0.0
7,What do you get when you add,0.0
7,What do you get when you add 1,0.0
7,What do you get when you add 1 +,0.0
7,What do you get when you add 1 + 1?,0.0
7,What do you get when you add 1 + 1? The,0.0
7,What do you get when you add 1 + 1? The average,0.0
7,What do you get when you add 1 + 1? The average Ethiopian,0.9
7,What do you get when you add 1 + 1? The average Ethiopian lifespan.,1.0
8,you,0.0
8,you can,0.0
8,you can tell,0.0
8,you can tell a,0.0
8,you can tell a lot,0.0
8,you can tell a lot about,0.0
8,you can tell a lot about a,0.0
8,you can tell a lot about a man,0.0
8,you can tell a lot about a man by,0.0
8,you can tell a lot about a man by the,0.0
8,you can tell a lot about a man by the car,0.0
8,you can tell a lot about a man by the car he,0.0
8,you can tell a lot about a man by the car he drives,0.0
8,you can tell a lot about a man by the car he drives for,0.0
8,you can tell a lot about a man by the car he drives for example,0.0
8,"you can tell a lot about a man by the car he drives for example ,",0.0
8,"you can tell a lot about a man by the car he drives for example , if",0.0
8,"you can tell a lot about a man by the car he drives for example , if it",0.0
8,"you can tell a lot about a man by the car he drives for example , if it 's",0.0
8,"you can tell a lot about a man by the car he drives for example , if it 's a",0.0
8,"you can tell a lot about a man by the car he drives for example , if it 's a black",0.5
8,"you can tell a lot about a man by the car he drives for example , if it 's a black man",0.6
8,"you can tell a lot about a man by the car he drives for example , if it 's a black man ,",0.6
8,"you can tell a lot about a man by the car he drives for example , if it 's a black man , it",0.7
8,"you can tell a lot about a man by the car he drives for example , if it 's a black man , it 's",0.7
8,"you can tell a lot about a man by the car he drives for example , if it 's a black man , it 's not",0.8
8,"you can tell a lot about a man by the car he drives for example , if it 's a black man , it 's not his",0.8
8,"you can tell a lot about a man by the car he drives for example , if it 's a black man , it 's not his car",0.9
8,"you can tell a lot about a man by the car he drives for example , if it 's a black man , it 's not his car .",1.0
9,IRONY,0.0
9,IRONY IS,0.0
9,IRONY IS FUCKING,0.0
9,IRONY IS FUCKING DEAD,0.0
9,IRONY IS FUCKING DEAD @ibustos123,0.0
9,IRONY IS FUCKING DEAD @ibustos123 Im,0.0
9,IRONY IS FUCKING DEAD @ibustos123 Im not,0.0
9,IRONY IS FUCKING DEAD @ibustos123 Im not sexist,0.0
9,IRONY IS FUCKING DEAD @ibustos123 Im not sexist but,0.6
9,IRONY IS FUCKING DEAD @ibustos123 Im not sexist but feminists,0.6
9,IRONY IS FUCKING DEAD @ibustos123 Im not sexist but feminists are,0.7
9,IRONY IS FUCKING DEAD @ibustos123 Im not sexist but feminists are the,0.7
9,IRONY IS FUCKING DEAD @ibustos123 Im not sexist but feminists are the most,0.8
9,IRONY IS FUCKING DEAD @ibustos123 Im not sexist but feminists are the most annoying,0.8
9,IRONY IS FUCKING DEAD @ibustos123 Im not sexist but feminists are the most annoying people,0.9
9,IRONY IS FUCKING DEAD @ibustos123 Im not sexist but feminists are the most annoying people out,0.9
9,IRONY IS FUCKING DEAD @ibustos123 Im not sexist but feminists are the most annoying people out there.,1.0
10,What's,0.0
10,What's the,0.0
10,What's the difference,0.0
10,What's the difference between,0.0
10,What's the difference between a,0.0
10,What's the difference between a black,0.3
10,What's the difference between a black slave,0.6
10,What's the difference between a black slave and,0.6
10,What's the difference between a black slave and a,0.7
10,What's the difference between a black slave and a black,0.7
10,What's the difference between a black slave and a black surfer?,0.7
10,What's the difference between a black slave and a black surfer? One,0.7
10,What's the difference between a black slave and a black surfer? One hangs,0.8
10,What's the difference between a black slave and a black surfer? One hangs high,0.8
10,What's the difference between a black slave and a black surfer? One hangs high and,0.8
10,What's the difference between a black slave and a black surfer? One hangs high and the,0.8
10,What's the difference between a black slave and a black surfer? One hangs high and the other,0.9
10,What's the difference between a black slave and a black surfer? One hangs high and the other hangs,0.9
10,What's the difference between a black slave and a black surfer? One hangs high and the other hangs loose.,1.0
11,What's,0.0
11,What's the,0.0
11,What's the one,0.0
11,What's the one good,0.0
11,What's the one good thing,0.0
11,What's the one good thing about,0.0
11,What's the one good thing about black,0.5
11,What's the one good thing about black people?,0.6
11,What's the one good thing about black people? They,0.6
11,What's the one good thing about black people? They provide,0.7
11,What's the one good thing about black people? They provide jobs,0.7
11,What's the one good thing about black people? They provide jobs for,0.8
11,What's the one good thing about black people? They provide jobs for the,0.8
11,What's the one good thing about black people? They provide jobs for the prison,0.9
11,What's the one good thing about black people? They provide jobs for the prison guards,1.0
12,Recent,0.0
12,Recent medical,0.0
12,Recent medical studies,0.0
12,Recent medical studies shows,0.0
12,Recent medical studies shows that,0.0
12,Recent medical studies shows that obesity,0.0
12,Recent medical studies shows that obesity can,0.0
12,Recent medical studies shows that obesity can cause,0.0
12,Recent medical studies shows that obesity can cause lots,0.0
12,Recent medical studies shows that obesity can cause lots of,0.0
12,Recent medical studies shows that obesity can cause lots of problems,0.0
12,Recent medical studies shows that obesity can cause lots of problems in,0.0
12,Recent medical studies shows that obesity can cause lots of problems in pregnant,0.0
12,Recent medical studies shows that obesity can cause lots of problems in pregnant women.,0.0
12,Recent medical studies shows that obesity can cause lots of problems in pregnant women. I,0.0
12,Recent medical studies shows that obesity can cause lots of problems in pregnant women. I think,0.0
12,Recent medical studies shows that obesity can cause lots of problems in pregnant women. I think there’s,0.0
12,Recent medical studies shows that obesity can cause lots of problems in pregnant women. I think there’s nothing,0.0
12,Recent medical studies shows that obesity can cause lots of problems in pregnant women. I think there’s nothing to,0.0
12,Recent medical studies shows that obesity can cause lots of problems in pregnant women. I think there’s nothing to worry,0.2
12,Recent medical studies shows that obesity can cause lots of problems in pregnant women. I think there’s nothing to worry about,0.3
12,Recent medical studies shows that obesity can cause lots of problems in pregnant women. I think there’s nothing to worry about it.,0.3
12,Recent medical studies shows that obesity can cause lots of problems in pregnant women. I think there’s nothing to worry about it. If,0.4
12,Recent medical studies shows that obesity can cause lots of problems in pregnant women. I think there’s nothing to worry about it. If a,0.4
12,Recent medical studies shows that obesity can cause lots of problems in pregnant women. I think there’s nothing to worry about it. If a woman,0.5
12,Recent medical studies shows that obesity can cause lots of problems in pregnant women. I think there’s nothing to worry about it. If a woman is,0.5
12,"Recent medical studies shows that obesity can cause lots of problems in pregnant women. I think there’s nothing to worry about it. If a woman is obese,",0.6
12,"Recent medical studies shows that obesity can cause lots of problems in pregnant women. I think there’s nothing to worry about it. If a woman is obese, she",0.6
12,"Recent medical studies shows that obesity can cause lots of problems in pregnant women. I think there’s nothing to worry about it. If a woman is obese, she won’t",0.7
12,"Recent medical studies shows that obesity can cause lots of problems in pregnant women. I think there’s nothing to worry about it. If a woman is obese, she won’t be",0.7
12,"Recent medical studies shows that obesity can cause lots of problems in pregnant women. I think there’s nothing to worry about it. If a woman is obese, she won’t be pregnant",0.8
12,"Recent medical studies shows that obesity can cause lots of problems in pregnant women. I think there’s nothing to worry about it. If a woman is obese, she won’t be pregnant in",0.8
12,"Recent medical studies shows that obesity can cause lots of problems in pregnant women. I think there’s nothing to worry about it. If a woman is obese, she won’t be pregnant in the",0.9
12,"Recent medical studies shows that obesity can cause lots of problems in pregnant women. I think there’s nothing to worry about it. If a woman is obese, she won’t be pregnant in the first",0.9
12,"Recent medical studies shows that obesity can cause lots of problems in pregnant women. I think there’s nothing to worry about it. If a woman is obese, she won’t be pregnant in the first place.",1.0
13,Why,0.0
13,Why are,0.0
13,Why are black,0.2
13,Why are black men,0.3
13,Why are black men good,0.3
13,Why are black men good at,0.4
13,Why are black men good at basketball?,0.4
13,Why are black men good at basketball? The,0.5
13,Why are black men good at basketball? The whole,0.5
13,Why are black men good at basketball? The whole point,0.6
13,Why are black men good at basketball? The whole point is,0.6
13,Why are black men good at basketball? The whole point is to,0.7
13,"Why are black men good at basketball? The whole point is to run,",0.7
13,"Why are black men good at basketball? The whole point is to run, shoot",0.8
13,"Why are black men good at basketball? The whole point is to run, shoot and",0.8
13,"Why are black men good at basketball? The whole point is to run, shoot and steal.",0.9
13,"Why are black men good at basketball? The whole point is to run, shoot and steal. Oh",0.9
13,"Why are black men good at basketball? The whole point is to run, shoot and steal. Oh and",0.9
13,"Why are black men good at basketball? The whole point is to run, shoot and steal. Oh and their",0.9
13,"Why are black men good at basketball? The whole point is to run, shoot and steal. Oh and their knee",0.9
13,"Why are black men good at basketball? The whole point is to run, shoot and steal. Oh and their knee grows.",1.0
14,More,0.0
14,More than,0.0
14,More than one-third,0.0
14,More than one-third of,0.0
14,More than one-third of Africa,0.0
14,More than one-third of Africa lacks,0.0
14,More than one-third of Africa lacks clean,0.0
14,More than one-third of Africa lacks clean water.,0.0
14,More than one-third of Africa lacks clean water. I,0.0
14,More than one-third of Africa lacks clean water. I guess,0.0
14,More than one-third of Africa lacks clean water. I guess black,0.4
14,More than one-third of Africa lacks clean water. I guess black people,0.5
14,More than one-third of Africa lacks clean water. I guess black people will,0.7
14,More than one-third of Africa lacks clean water. I guess black people will even,0.8
14,More than one-third of Africa lacks clean water. I guess black people will even steal,0.8
14,More than one-third of Africa lacks clean water. I guess black people will even steal from,0.8
14,More than one-third of Africa lacks clean water. I guess black people will even steal from their,0.9
14,More than one-third of Africa lacks clean water. I guess black people will even steal from their own,0.9
14,More than one-third of Africa lacks clean water. I guess black people will even steal from their own kind.,1.0
15,What's,0.0
15,What's the,0.0
15,What's the difference,0.0
15,What's the difference between,0.0
15,What's the difference between a,0.0
15,What's the difference between a black,0.5
15,What's the difference between a black person,0.7
15,What's the difference between a black person and,0.7
15,What's the difference between a black person and a,0.8
15,What's the difference between a black person and a chicken?,0.8
15,What's the difference between a black person and a chicken? One's,0.9
15,What's the difference between a black person and a chicken? One's free,0.9
15,What's the difference between a black person and a chicken? One's free range,1.0
16,who,0.0
16,who 's,0.0
16,who 's visiting,0.0
16,who 's visiting millions,0.0
16,who 's visiting millions of,0.0
16,who 's visiting millions of african,0.4
16,who 's visiting millions of african children,0.5
16,who 's visiting millions of african children every,0.5
16,who 's visiting millions of african children every year,0.6
16,who 's visiting millions of african children every year on,0.6
16,who 's visiting millions of african children every year on christmas,0.7
16,who 's visiting millions of african children every year on christmas eve,0.8
16,who 's visiting millions of african children every year on christmas eve ?,0.8
16,who 's visiting millions of african children every year on christmas eve ? death,0.9
16,who 's visiting millions of african children every year on christmas eve ? death .,1.0
17,I,0.0
17,I wouldn't,0.0
17,I wouldn't call,0.0
17,I wouldn't call myself,0.0
17,I wouldn't call myself a,0.0
17,I wouldn't call myself a feminist,0.0
17,I wouldn't call myself a feminist anymore.,0.2
17,I wouldn't call myself a feminist anymore. I,0.2
17,I wouldn't call myself a feminist anymore. I think,0.2
17,I wouldn't call myself a feminist anymore. I think I'm,0.3
17,I wouldn't call myself a feminist anymore. I think I'm a,0.3
17,I wouldn't call myself a feminist anymore. I think I'm a realist,0.3
17,I wouldn't call myself a feminist anymore. I think I'm a realist now.,0.3
17,I wouldn't call myself a feminist anymore. I think I'm a realist now. I,0.4
17,I wouldn't call myself a feminist anymore. I think I'm a realist now. I think,0.4
17,I wouldn't call myself a feminist anymore. I think I'm a realist now. I think maybe,0.4
17,I wouldn't call myself a feminist anymore. I think I'm a realist now. I think maybe we're,0.4
17,I wouldn't call myself a feminist anymore. I think I'm a realist now. I think maybe we're in,0.5
17,I wouldn't call myself a feminist anymore. I think I'm a realist now. I think maybe we're in denial,0.5
17,I wouldn't call myself a feminist anymore. I think I'm a realist now. I think maybe we're in denial and,0.5
17,I wouldn't call myself a feminist anymore. I think I'm a realist now. I think maybe we're in denial and that,0.5
17,I wouldn't call myself a feminist anymore. I think I'm a realist now. I think maybe we're in denial and that men,0.6
17,I wouldn't call myself a feminist anymore. I think I'm a realist now. I think maybe we're in denial and that men and,0.6
17,I wouldn't call myself a feminist anymore. I think I'm a realist now. I think maybe we're in denial and that men and women,0.6
17,I wouldn't call myself a feminist anymore. I think I'm a realist now. I think maybe we're in denial and that men and women aren't,0.6
17,I wouldn't call myself a feminist anymore. I think I'm a realist now. I think maybe we're in denial and that men and women aren't necessarily,0.6
17,I wouldn't call myself a feminist anymore. I think I'm a realist now. I think maybe we're in denial and that men and women aren't necessarily capable,0.7
17,I wouldn't call myself a feminist anymore. I think I'm a realist now. I think maybe we're in denial and that men and women aren't necessarily capable of,0.7
17,I wouldn't call myself a feminist anymore. I think I'm a realist now. I think maybe we're in denial and that men and women aren't necessarily capable of the,0.7
17,I wouldn't call myself a feminist anymore. I think I'm a realist now. I think maybe we're in denial and that men and women aren't necessarily capable of the same,0.7
17,I wouldn't call myself a feminist anymore. I think I'm a realist now. I think maybe we're in denial and that men and women aren't necessarily capable of the same things.,0.8
17,I wouldn't call myself a feminist anymore. I think I'm a realist now. I think maybe we're in denial and that men and women aren't necessarily capable of the same things. Maybe,0.8
17,I wouldn't call myself a feminist anymore. I think I'm a realist now. I think maybe we're in denial and that men and women aren't necessarily capable of the same things. Maybe women,0.8
17,I wouldn't call myself a feminist anymore. I think I'm a realist now. I think maybe we're in denial and that men and women aren't necessarily capable of the same things. Maybe women need,0.8
17,I wouldn't call myself a feminist anymore. I think I'm a realist now. I think maybe we're in denial and that men and women aren't necessarily capable of the same things. Maybe women need to,0.9
17,I wouldn't call myself a feminist anymore. I think I'm a realist now. I think maybe we're in denial and that men and women aren't necessarily capable of the same things. Maybe women need to make,0.9
17,I wouldn't call myself a feminist anymore. I think I'm a realist now. I think maybe we're in denial and that men and women aren't necessarily capable of the same things. Maybe women need to make some,0.9
17,I wouldn't call myself a feminist anymore. I think I'm a realist now. I think maybe we're in denial and that men and women aren't necessarily capable of the same things. Maybe women need to make some sacrifices.,1.0
18,Why,0.0
18,Why did,0.0
18,Why did so,0.0
18,Why did so many,0.0
18,Why did so many blacks,0.4
18,Why did so many blacks die,0.5
18,Why did so many blacks die in,0.5
18,Why did so many blacks die in combat,0.6
18,Why did so many blacks die in combat during,0.6
18,Why did so many blacks die in combat during Vietnam?,0.7
18,Why did so many blacks die in combat during Vietnam? Every,0.7
18,Why did so many blacks die in combat during Vietnam? Every time,0.7
18,Why did so many blacks die in combat during Vietnam? Every time the,0.8
18,Why did so many blacks die in combat during Vietnam? Every time the Sergeant,0.8
18,"Why did so many blacks die in combat during Vietnam? Every time the Sergeant yelled,",0.8
18,"Why did so many blacks die in combat during Vietnam? Every time the Sergeant yelled, ""GET",0.8
18,"Why did so many blacks die in combat during Vietnam? Every time the Sergeant yelled, ""GET DOWN!""",0.8
18,"Why did so many blacks die in combat during Vietnam? Every time the Sergeant yelled, ""GET DOWN!"" they",0.8
18,"Why did so many blacks die in combat during Vietnam? Every time the Sergeant yelled, ""GET DOWN!"" they would",0.8
18,"Why did so many blacks die in combat during Vietnam? Every time the Sergeant yelled, ""GET DOWN!"" they would get",0.9
18,"Why did so many blacks die in combat during Vietnam? Every time the Sergeant yelled, ""GET DOWN!"" they would get up",0.9
18,"Why did so many blacks die in combat during Vietnam? Every time the Sergeant yelled, ""GET DOWN!"" they would get up and",0.9
18,"Why did so many blacks die in combat during Vietnam? Every time the Sergeant yelled, ""GET DOWN!"" they would get up and dance.",1.0
19,What,0.0
19,What place,0.0
19,What place do,0.0
19,What place do black,0.5
19,What place do black people,0.6
19,What place do black people like,0.6
19,What place do black people like to,0.7
19,What place do black people like to be,0.7
19,What place do black people like to be peaceful?,0.8
19,What place do black people like to be peaceful? In,0.8
19,What place do black people like to be peaceful? In their,0.9
19,What place do black people like to be peaceful? In their coffin.,1.0
20,what,0.0
20,what 's,0.0
20,what 's the,0.0
20,what 's the difference,0.0
20,what 's the difference between,0.0
20,what 's the difference between batman,0.0
20,what 's the difference between batman and,0.0
20,what 's the difference between batman and a,0.0
20,what 's the difference between batman and a black,0.4
20,what 's the difference between batman and a black man,0.5
20,what 's the difference between batman and a black man ?,0.5
20,what 's the difference between batman and a black man ? batman,0.6
20,what 's the difference between batman and a black man ? batman can,0.6
20,what 's the difference between batman and a black man ? batman can go,0.7
20,what 's the difference between batman and a black man ? batman can go to,0.7
20,what 's the difference between batman and a black man ? batman can go to the,0.8
20,what 's the difference between batman and a black man ? batman can go to the store,0.8
20,what 's the difference between batman and a black man ? batman can go to the store without,0.9
20,what 's the difference between batman and a black man ? batman can go to the store without robin,0.9
20,what 's the difference between batman and a black man ? batman can go to the store without robin .,1.0
21,i,0.0
21,i got,0.0
21,i got arrested,0.0
21,i got arrested for,0.0
21,i got arrested for killing,0.0
21,i got arrested for killing a,0.0
21,i got arrested for killing a black,0.4
21,i got arrested for killing a black man,0.6
21,i got arrested for killing a black man .,0.6
21,i got arrested for killing a black man . they,0.7
21,i got arrested for killing a black man . they charged,0.7
21,i got arrested for killing a black man . they charged me,0.7
21,i got arrested for killing a black man . they charged me for,0.8
21,i got arrested for killing a black man . they charged me for impersonating,0.8
21,i got arrested for killing a black man . they charged me for impersonating a,0.8
21,i got arrested for killing a black man . they charged me for impersonating a police,0.9
21,i got arrested for killing a black man . they charged me for impersonating a police officer,0.9
21,i got arrested for killing a black man . they charged me for impersonating a police officer .,1.0
22,No,0.0
22,"No offense,",0.0
22,"No offense, but",0.0
22,"No offense, but that's",0.0
22,"No offense, but that's seriously",0.0
22,"No offense, but that's seriously gay.",1.0
23,What's,0.0
23,What's A,0.0
23,What's A Jew's,0.6
23,What's A Jew's Biggest,0.7
23,What's A Jew's Biggest Fear?,0.8
23,What's A Jew's Biggest Fear? Taking,0.8
23,What's A Jew's Biggest Fear? Taking a,0.9
23,What's A Jew's Biggest Fear? Taking a shower.,1.0
24,what,0.0
24,what do,0.0
24,what do you,0.0
24,what do you call,0.0
24,what do you call an,0.0
24,what do you call an ethiopian,0.6
24,what do you call an ethiopian with,0.6
24,what do you call an ethiopian with buck,0.7
24,what do you call an ethiopian with buck teeth,0.8
24,what do you call an ethiopian with buck teeth ?,0.8
24,what do you call an ethiopian with buck teeth ? a,0.8
24,what do you call an ethiopian with buck teeth ? a rake,0.9
24,what do you call an ethiopian with buck teeth ? a rake .,1.0
25,Why,0.0
25,Why did,0.0
25,Why did Beyonce,0.0
25,Why did Beyonce say,0.0
25,"Why did Beyonce say ""to",0.0
25,"Why did Beyonce say ""to the",0.0
25,"Why did Beyonce say ""to the left,to",0.0
25,"Why did Beyonce say ""to the left,to the",0.0
25,"Why did Beyonce say ""to the left,to the left""?",0.0
25,"Why did Beyonce say ""to the left,to the left""? Because",0.0
25,"Why did Beyonce say ""to the left,to the left""? Because black",0.5
25,"Why did Beyonce say ""to the left,to the left""? Because black people",0.6
25,"Why did Beyonce say ""to the left,to the left""? Because black people have",0.8
25,"Why did Beyonce say ""to the left,to the left""? Because black people have no",0.9
25,"Why did Beyonce say ""to the left,to the left""? Because black people have no rights.",1.0
26,i,0.0
26,i ca,0.0
26,i ca nt,0.0
26,i ca nt wait,0.0
26,i ca nt wait for,0.0
26,i ca nt wait for harriet,0.0
26,i ca nt wait for harriet tubman,0.0
26,i ca nt wait for harriet tubman to,0.0
26,i ca nt wait for harriet tubman to be,0.0
26,i ca nt wait for harriet tubman to be on,0.0
26,i ca nt wait for harriet tubman to be on the,0.0
26,i ca nt wait for harriet tubman to be on the $,0.0
26,i ca nt wait for harriet tubman to be on the $ <number>,0.0
26,i ca nt wait for harriet tubman to be on the $ <number> bill,0.0
26,i ca nt wait for harriet tubman to be on the $ <number> bill i,0.0
26,i ca nt wait for harriet tubman to be on the $ <number> bill i can,0.0
26,i ca nt wait for harriet tubman to be on the $ <number> bill i can finally,0.0
26,i ca nt wait for harriet tubman to be on the $ <number> bill i can finally use,0.0
26,i ca nt wait for harriet tubman to be on the $ <number> bill i can finally use black,0.6
26,i ca nt wait for harriet tubman to be on the $ <number> bill i can finally use black people,0.7
26,i ca nt wait for harriet tubman to be on the $ <number> bill i can finally use black people as,0.8
26,i ca nt wait for harriet tubman to be on the $ <number> bill i can finally use black people as currency,0.8
26,i ca nt wait for harriet tubman to be on the $ <number> bill i can finally use black people as currency again,0.9
26,i ca nt wait for harriet tubman to be on the $ <number> bill i can finally use black people as currency again .,1.0
27,Aan,0.0
27,Aan indian,0.4
27,Aan indian was,0.4
27,Aan indian was taking,0.5
27,Aan indian was taking a,0.5
27,Aan indian was taking a dump,0.5
27,Aan indian was taking a dump and,0.5
27,Aan indian was taking a dump and died.,0.6
27,"Aan indian was taking a dump and died. Strange,",0.6
27,"Aan indian was taking a dump and died. Strange, isn't",0.6
